team,n_players,squad_overall,raw_overall,top3_overall,squad_value_m
France,23,85.17,85.17,89.33,1452.0
Spain,23,84.96,84.96,89.33,1252.0
Brazil,23,84.04,84.04,89.0,1153.0
England,23,83.96,83.96,89.0,1295.5
Germany,23,83.83,83.83,88.67,1003.2
Portugal,23,83.22,83.22,87.33,960.0
Argentina,23,82.65,82.65,87.33,869.0
Netherlands,23,82.61,82.61,87.67,851.0
Belgium,23,81.17,81.17,87.0,664.5
Uruguay,23,78.91,78.91,85.0,441.6
Croatia,23,78.83,78.83,83.33,378.2
Morocco,23,78.83,78.83,84.33,452.3
Switzerland,23,78.57,78.57,86.0,340.2
Turkey,23,78.43,78.43,83.0,435.1
Colombia,23,77.96,77.96,83.0,327.8
Sweden,23,77.57,77.57,86.0,495.2
Ivory Coast,23,77.52,77.52,80.33,375.5
Senegal,23,77.52,77.52,81.67,317.9
Norway,23,77.3,77.3,87.0,479.9
United States,23,77.17,77.17,82.67,359.4
Austria,23,77.17,77.17,81.33,284.7
Japan,23,77.17,77.17,82.0,309.2
Algeria,23,76.65,76.65,81.67,282.5
Mexico,23,76.09,76.09,79.33,111.4
Scotland,23,75.91,75.91,82.67,235.7
Czech Republic,23,75.91,75.91,80.33,225.7
Ghana,23,75.61,75.61,82.0,220.8
South Korea,23,74.17,74.17,82.0,171.6
Paraguay,23,74.13,74.13,77.67,112.8
Ecuador,23,74.04,74.04,85.33,301.1
Canada,23,73.61,73.61,81.33,193.1
Bosnia and Herzegovina,23,73.48,73.48,80.0,108.8
DR Congo,23,73.48,73.48,81.0,148.2
Saudi Arabia,23,71.3,71.3,77.33,75.8
Australia,23,71.22,71.22,75.33,48.3
Tunisia,23,69.78,69.78,76.67,73.5
Qatar,23,69.35,69.35,77.0,0.0
Cape Verde,23,68.7,68.7,75.0,57.3
New Zealand,23,68.0,68.0,76.0,55.4
Egypt,10,65.74,70.6,83.33,147.6
Panama,15,64.91,66.47,72.67,21.3
Haiti,14,64.78,66.57,73.0,19.4
Iran,6,64.35,71.0,74.33,22.2
South Africa,16,64.26,65.25,72.33,24.1
Iraq,14,64.09,65.43,68.0,19.6
Curaçao,15,63.65,64.53,69.67,20.0
Uzbekistan,5,63.61,69.4,73.0,30.5
Jordan,3,63.09,70.33,70.33,11.0
