team,win_pct,final_pct,semi_pct,quarter_pct,r16_pct,advance_pct
Spain,22.61,32.91,46.01,57.52,73.7,98.5
Argentina,17.84,28.86,42.05,55.96,68.29,97.46
France,12.21,20.87,36.07,53.13,74.56,94.86
England,10.15,18.3,31.03,48.56,70.59,96.38
Brazil,5.35,11.09,22.69,39.56,60.65,93.66
Portugal,5.16,10.88,21.26,37.67,60.44,90.51
Netherlands,4.57,10.12,20.78,38.28,55.82,92.98
Germany,3.41,8.5,19.21,35.04,64.68,94.83
Colombia,3.12,7.56,15.38,31.21,54.9,88.89
Belgium,3.05,7.72,16.02,39.88,66.66,93.31
Morocco,2.31,6.06,14.96,30.5,50.95,90.62
Mexico,1.23,3.6,9.97,24.93,58.65,97.94
Uruguay,1.14,4.04,9.58,20.29,37.83,88.99
Ecuador,1.13,3.42,9.91,23.19,50.29,90.26
Japan,0.94,2.98,8.71,20.65,39.05,81.74
Croatia,0.82,2.73,8.09,18.74,42.58,81.86
Switzerland,0.8,2.77,7.92,21.51,50.55,84.76
Norway,0.78,2.55,7.27,18.94,41.81,78.4
Senegal,0.4,1.63,5.2,14.83,33.58,67.2
Australia,0.4,1.82,5.5,18.65,49.84,97.38
Austria,0.4,1.56,4.78,12.11,26.08,71.19
United States,0.39,1.43,4.64,15.43,45.03,96.68
Iran,0.38,1.48,4.23,13.45,37.75,73.82
Algeria,0.33,1.2,3.85,10.79,24.44,69.34
South Korea,0.22,0.94,4.24,13.3,45.36,95.87
Turkey,0.21,0.94,3.04,8.78,25.42,56.91
Canada,0.18,1.16,3.63,12.47,37.0,73.89
Czech Republic,0.12,0.33,1.46,6.53,21.51,57.47
Ivory Coast,0.09,0.48,1.98,8.0,25.8,67.42
Egypt,0.08,0.38,1.29,5.88,21.92,55.52
Scotland,0.04,0.47,2.47,9.71,27.78,79.15
Paraguay,0.03,0.13,0.63,2.42,8.09,24.19
Uzbekistan,0.03,0.22,0.81,3.24,12.1,43.89
DR Congo,0.03,0.14,0.58,2.87,11.57,42.19
Sweden,0.02,0.1,0.52,2.94,12.29,43.65
Saudi Arabia,0.01,0.07,0.52,2.3,8.94,44.36
Panama,0.01,0.21,1.27,4.59,16.83,55.43
Jordan,0.01,0.06,0.16,1.1,4.94,25.55
Bosnia and Herzegovina,0.0,0.05,0.42,2.65,14.57,49.86
Qatar,0.0,0.05,0.31,2.24,15.74,56.63
Haiti,0.0,0.02,0.04,0.27,2.12,10.81
South Africa,0.0,0.01,0.1,0.65,4.6,19.78
Curaçao,0.0,0.01,0.04,0.36,2.41,14.91
Tunisia,0.0,0.09,0.65,3.05,11.99,47.11
Cape Verde,0.0,0.0,0.06,0.61,3.55,23.98
New Zealand,0.0,0.03,0.3,2.52,13.48,43.63
Iraq,0.0,0.02,0.17,1.41,6.8,26.3
Ghana,0.0,0.01,0.2,1.29,6.47,29.94
